id,filename,true_type,pred_type,confidence,ocr_confidence,ocr_engine,path_correction_applied,error
3778,TS-INQ_Old doc_SB_SB Airbus_A320-25-1444.pdf,SB,SB,0.9541,0.0,ocr_v5_none,False,
3790,TS-INQ_Old doc_SB_SB Airbus_A320-28-1153.pdf,SB,SB,0.9594,0.0,ocr_v5_none,False,
3004,697519 Air Jamaica SB 72-0671 Compliance Printout.pdf,SB,SB,0.7607,72.09,ocr_v5_tesseract,False,
15,0005400.pdf,ATL,ATL,0.9147,79.29,ocr_v5_tesseract,False,
13,0005398.pdf,ATL,Other,0.8907,87.0,ocr_v5_tesseract,False,
2182,TS-INQ_ATL_6-9-2014_NQ_0005055.pdf,ATL,ATL,0.9483,0.0,ocr_v5_none,False,
2187,TS-INQ_ATL_8-9-2014_NQ_0005066.pdf,ATL,ATL,0.9522,77.62,ocr_v5_tesseract,False,
14,0005378.pdf,ATL,Other,0.8591,0.0,ocr_v5_none,False,
2195,TS-INQ_ATL_9-9-2014_NQ_0011803.pdf,ATL,ATL,0.9332,76.69,ocr_v5_tesseract,False,
3508,03_4.pdf,ATL,Other,0.5211,95.0,ocr_v5_pdfplumber,False,
2190,TS-INQ_ATL_9-9-2014_NQ_0005075.pdf,ATL,ATL,0.9297,0.0,ocr_v5_none,False,
2179,TS-INQ_ATL_6-9-2014_NQ_0005056.pdf,ATL,ATL,0.9483,0.0,ocr_v5_none,False,
3503,03_3.pdf,ATL,Other,0.8334,95.0,ocr_v5_pdfplumber,False,
2191,TS-INQ_ATL_8-9-2014_NQ_0005068.pdf,ATL,ATL,0.9548,80.06,ocr_v5_tesseract,False,
2176,TS-INQ_ATL_4-9-2014_NQ_0009697.pdf,ATL,ATL,0.9539,75.98,ocr_v5_tesseract,False,
2178,TS-INQ_ATL_5-11-2014_0003442.pdf,ATL,ATL,0.645,0.0,ocr_v5_none,False,
2,NO_0011850.pdf,ATL,Other,0.769,0.0,ocr_v5_none,False,
3957,TS-INQ_Old doc_Problemes APU TS-INQ.pdf,ATL,ATL,0.9338,95.0,ocr_v5_pdfplumber,False,
2186,TS-INQ_ATL_7-11-2014_0003444.pdf,ATL,ATL,0.9475,75.95,ocr_v5_tesseract,False,
3335,TS-INQ_Old doc_Engines_Leased engines MSN 2158 change_697519_Fuel NQ.pdf,ATL,ATL,0.8451,97.0,ocr_v5_pdfplumber,False,
2167,TS-INQ_ATL_2-9-2014_0009682.pdf,ATL,ATL,0.6079,56.38,ocr_v5_tesseract,False,
28,NO_0011826.pdf,ATL,ATL,0.8703,76.96,ocr_v5_tesseract,False,
20,NO_0003664.pdf,ATL,ATL,0.9217,78.5,ocr_v5_tesseract,False,
2173,TS-INQ_ATL_4-11-2014_0003441.pdf,ATL,ATL,0.9406,81.1,ocr_v5_tesseract,False,
2180,TS-INQ_ATL_5-9-2014_NQ_0009699.pdf,ATL,ATL,0.8982,76.8,ocr_v5_tesseract,False,
1302,TS-INP_ATL_2025_TL01JUL-31DEC2025.pdf,ATL,ATL,0.8907,0.0,ocr_v5_none,False,
26,0008265.pdf,ATL,Other,0.9316,0.0,ocr_v5_none,False,
24,NO_0003672.pdf,ATL,ATL,0.6713,0.0,ocr_v5_none,False,
29,NO_0011828.pdf,ATL,ATL,0.6901,57.69,ocr_v5_tesseract,False,
2193,TS-INQ_ATL_9-9-2014_NQ_0011801.pdf,ATL,ATL,0.8813,58.57,ocr_v5_tesseract,False,
2172,TS-INQ_ATL_3-9-2014_NQ_0009692.pdf,ATL,ATL,0.9268,0.0,ocr_v5_none,False,
2174,TS-INQ_ATL_4-9-2014_NQ_0009695.pdf,ATL,ATL,0.9529,74.72,ocr_v5_tesseract,False,
2169,TS-INQ_ATL_2-9-2014_0009683.pdf,ATL,ATL,0.9423,0.0,ocr_v5_none,False,
519,RCT-ES001102-29122015110029.pdf,RCT,RCT,0.8784,0.0,ocr_v5_none,False,
468,RCT ES000973.pdf,RCT,RCT,0.9116,0.0,ocr_v5_none,False,
3977,RCT-ES001032.pdf,RCT,RCT,0.8527,0.0,ocr_v5_none,False,
464,RCT-ES000926.pdf,RCT,RCT,0.8895,0.0,ocr_v5_none,False,
473,RCT ES0001025.pdf,RCT,RCT,0.9261,0.0,ocr_v5_none,False,
529,RCT-ES001125-25042016090444.pdf,RCT,RCT,0.8903,0.0,ocr_v5_none,False,
449,RCT ES000754.pdf,RCT,RCT,0.8483,0.0,ocr_v5_none,False,
479,RCT-ES001091-07012016095457.pdf,RCT,RCT,0.8986,0.0,ocr_v5_none,False,
605,RCT-ES001250.pdf,RCT,Other,0.5202,92.71,ocr_v5_tesseract,False,
3980,RCT-ES001045.pdf,RCT,RCT,0.8373,89.85,ocr_v5_tesseract,False,
475,RCT ES001038.pdf,RCT,RCT,0.829,0.0,ocr_v5_none,False,
607,RCT-ES001293.pdf,RCT,RCT,0.7911,0.0,ocr_v5_none,False,
3983,RCT-001087-08022016112105.pdf,RCT,RCT,0.9202,0.0,ocr_v5_none,False,
451,RCT-ES000777.pdf,RCT,RCT,0.8459,0.0,ocr_v5_none,False,
455,RCT-ES000789.pdf,RCT,RCT,0.8175,0.0,ocr_v5_none,False,
469,RCT-ES001011.pdf,RCT,RCT,0.8544,0.0,ocr_v5_none,False,
463,RCT-ES000887.pdf,RCT,RCT,0.9116,0.0,ocr_v5_none,False,
565,RCT-ES001131-26052016090655.pdf,RCT,RCT,0.8881,0.0,ocr_v5_none,False,
604,RCT-ES001289.pdf,RCT,RCT,0.7824,91.88,ocr_v5_tesseract,False,
596,RCT-ES001143.pdf,RCT,RCT,0.8268,0.0,ocr_v5_none,False,
603,RCT-ES001251.pdf,RCT,RCT,0.9138,0.0,ocr_v5_none,False,
446,RCT ES000731.pdf,RCT,RCT,0.7294,0.0,ocr_v5_none,False,
2698,TS-INQ_Old doc_Components_CMM_CMM~Weber Business Class 859908-XXX.pdf,CMM,CMM,0.7998,97.0,ocr_v5_pdfplumber,False,
2703,TS-INQ_Old doc_Components_Life vest MSN 2158_256012_57399_CMM_009[1].pdf,CMM,CMM,0.5553,95.0,ocr_v5_pdfplumber,False,
2693,TS-INQ_Old doc_Components_CMM_BE Aerospace Seats~CMM 25-22-50_IPL.pdf,CMM,CMM,0.8152,95.0,ocr_v5_pdfplumber,False,
2692,TS-INQ_Old doc_Components_CMM_BE Aerospace Seats~CMM 25-22-50_TRR-3244 25-22-050-2705 TR-1.03 (read only).pdf,CMM,CMM,0.8794,99.0,ocr_v5_pdfplumber,False,
2694,TS-INQ_Old doc_Components_CMM_SELL CMM_CMM_25_30_11_rail_coffeemaker.pdf,CMM,CMM,0.8082,95.0,ocr_v5_pdfplumber,False,
2687,TS-INQ_Old doc_Components_CMM_BE Aerospace Seats~CMM 25-22-50_BEA TR 1.0  CMM 25-22-050 DOC ID# 2705.pdf,CMM,CMM,0.9076,95.0,ocr_v5_pdfplumber,False,
2690,"TS-INQ_Old doc_Components_CMM_BE Aerospace Seats~CMM 25-22-50_BEA 25-22-50  DOC ID# 2705 R.00 13Jan,2004.pdf",CMM,CMM,0.8831,95.0,ocr_v5_pdfplumber,False,
2695,250417_D2249_CMM_004.pdf,CMM,CMM,0.6149,99.0,ocr_v5_pdfplumber,False,
2691,TS-INQ_Old doc_Components_CMM_BE Aerospace Seats~CMM 25-22-50_BEA TR-1.02  CMM 25-22-050 DOC ID# 2705.pdf,CMM,CMM,0.8654,97.0,ocr_v5_pdfplumber,False,
2911,TS-INQ_Old doc_Engines_APU_APU change from APS3200 to 131-9A_Historic LBT+Aercap APS3200 SN 2470 No.pdf,Defect Report,AD,0.6421,95.0,ocr_v5_pdfplumber,False,
2924,TS-INQ_Old doc_Engines_BSI ~ 2324-03-2014_APU_SN_2740_APS_3200 SGI Borescope Inspection Log_20140322.pdf,Defect Report,Other,0.5235,95.0,ocr_v5_pdfplumber,False,
2929,TS-INQ_Old doc_Engines_BSI ~ 2324-03-2014_ESN_697519_CFM56-5B_SGI Borescope Inspection Log - 20140323.pdf,Defect Report,Other,0.4558,95.0,ocr_v5_pdfplumber,False,
2926,TS-INQ_Old doc_Engines_BSI ~ 2324-03-2014_ESN_779302_CFM56-5B_SGI Borescope Inspection Log_20140322.pdf,Defect Report,Other,0.4562,95.0,ocr_v5_pdfplumber,False,
3230,779302 Non-Conformance Sheet.pdf,Defect Report,Other,0.7675,81.33,ocr_v5_tesseract,False,
2904,2470 Nouvelair 5354099 PFR.pdf,Defect Report,AD,0.4954,99.0,ocr_v5_pdfplumber,False,
3289,TS-INQ_Old doc_Engines_Leased engines MSN 2158 change_575738_Findings ESN 575738.pdf,Defect Report,Other,0.7286,0.0,ocr_v5_none,False,
3482,18-SHOPFINDINGSREPORT.pdf,Defect Report,AD,0.4175,95.0,ocr_v5_pdfplumber,False,
3710,TS-INQ_Old doc_Mods_CDSS ST01432LA_AMM Supplement AMM230088 REV B.pdf,AMM,AMM,0.6511,88.77,ocr_v5_tesseract,True,
3722,TS-INQ_Old doc_Mods_CDSS ST01432LA_IPC Supplement IPC 230088 REV C.pdf,IPC,Other,0.6527,84.92,ocr_v5_tesseract,False,
